,Old Norse Root,Icelandic Word,Norwegian Nynorsk Word,Old Norse URL,Icelandic URL,Norwegian Nynorsk URL
116,bókstafr,bókstafur,bokstav,https://en.wiktionary.org/wiki/b%C3%B3kstafr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B3kstafur,https://en.wiktionary.org/wiki/bokstav
117,bǫrkr,börkur,bork,https://en.wiktionary.org/wiki/b%C7%ABrkr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%B6rkur,https://en.wiktionary.org/wiki/bork
118,búnaðr,búnaður,bunad,https://en.wiktionary.org/wiki/b%C3%BAna%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BAna%C3%B0ur,https://en.wiktionary.org/wiki/bunad
119,búr,búr,bur,https://en.wiktionary.org/wiki/b%C3%BAr#Old_Norse,https://en.wiktionary.org/wiki/b%C3%BAr,https://en.wiktionary.org/wiki/bur
120,dagr,dagur,dag,https://en.wiktionary.org/wiki/dagr#Old_Norse,https://en.wiktionary.org/wiki/dagur,https://en.wiktionary.org/wiki/dag
121,danskr,danskur,dansk,https://en.wiktionary.org/wiki/danskr#Old_Norse,https://en.wiktionary.org/wiki/danskur,https://en.wiktionary.org/wiki/dansk
122,daufr,daufur,døv,https://en.wiktionary.org/wiki/daufr#Old_Norse,https://en.wiktionary.org/wiki/daufur,https://en.wiktionary.org/wiki/d%C3%B8v
123,deig,deig,deig,https://en.wiktionary.org/wiki/deig#Old_Norse,https://en.wiktionary.org/wiki/deig,https://en.wiktionary.org/wiki/deig
124,deila,deila,dele,https://en.wiktionary.org/wiki/deila#Old_Norse,https://en.wiktionary.org/wiki/deila,https://en.wiktionary.org/wiki/dele
125,deyja,deyja,døy,https://en.wiktionary.org/wiki/deyja#Old_Norse,https://en.wiktionary.org/wiki/deyja,https://en.wiktionary.org/wiki/d%C3%B8y
126,deyða,deyða,døyda,https://en.wiktionary.org/wiki/dey%C3%B0a#Old_Norse,https://en.wiktionary.org/wiki/dey%C3%B0a,https://en.wiktionary.org/wiki/d%C3%B8yda
127,dimmr,dimmur,dim,https://en.wiktionary.org/wiki/dimmr#Old_Norse,https://en.wiktionary.org/wiki/dimmur,https://en.wiktionary.org/wiki/dim
128,diskr,diskur,disk,https://en.wiktionary.org/wiki/diskr#Old_Norse,https://en.wiktionary.org/wiki/diskur,https://en.wiktionary.org/wiki/disk
129,djúpr,djúpur,djup,https://en.wiktionary.org/wiki/dj%C3%BApr#Old_Norse,https://en.wiktionary.org/wiki/dj%C3%BApur,https://en.wiktionary.org/wiki/djup
130,dofinn,dofinn,doven,https://en.wiktionary.org/wiki/dofinn#Old_Norse,https://en.wiktionary.org/wiki/dofinn,https://en.wiktionary.org/wiki/doven
131,draga,draga,dra,https://en.wiktionary.org/wiki/draga#Old_Norse,https://en.wiktionary.org/wiki/draga,https://en.wiktionary.org/wiki/dra
132,draga,draga,draga,https://en.wiktionary.org/wiki/draga#Old_Norse,https://en.wiktionary.org/wiki/draga,https://en.wiktionary.org/wiki/draga
133,draga,draga,drage,https://en.wiktionary.org/wiki/draga#Old_Norse,https://en.wiktionary.org/wiki/draga,https://en.wiktionary.org/wiki/drage
134,draugr,draugur,draug,https://en.wiktionary.org/wiki/draugr#Old_Norse,https://en.wiktionary.org/wiki/draugur,https://en.wiktionary.org/wiki/draug
135,draumr,draumur,draum,https://en.wiktionary.org/wiki/draumr#Old_Norse,https://en.wiktionary.org/wiki/draumur,https://en.wiktionary.org/wiki/draum
136,dreki,dreki,drake,https://en.wiktionary.org/wiki/dreki#Old_Norse,https://en.wiktionary.org/wiki/dreki,https://en.wiktionary.org/wiki/drake
137,drengr,drengur,dreng,https://en.wiktionary.org/wiki/drengr#Old_Norse,https://en.wiktionary.org/wiki/drengur,https://en.wiktionary.org/wiki/dreng
138,drepa,drepa,drepe,https://en.wiktionary.org/wiki/drepa#Old_Norse,https://en.wiktionary.org/wiki/drepa,https://en.wiktionary.org/wiki/drepe
139,drjúgr,drjúgur,dryg,https://en.wiktionary.org/wiki/drj%C3%BAgr#Old_Norse,https://en.wiktionary.org/wiki/drj%C3%BAgur,https://en.wiktionary.org/wiki/dryg
140,drjúpa,drjúpa,drypa,https://en.wiktionary.org/wiki/drj%C3%BApa#Old_Norse,https://en.wiktionary.org/wiki/drj%C3%BApa,https://en.wiktionary.org/wiki/drypa
141,dropi,dropi,drope,https://en.wiktionary.org/wiki/dropi#Old_Norse,https://en.wiktionary.org/wiki/dropi,https://en.wiktionary.org/wiki/drope
142,dróttinn,drottinn,drott,https://en.wiktionary.org/wiki/dr%C3%B3ttinn#Old_Norse,https://en.wiktionary.org/wiki/drottinn,https://en.wiktionary.org/wiki/drott
143,dróttning,drottning,dronning,https://en.wiktionary.org/wiki/dr%C3%B3ttning#Old_Norse,https://en.wiktionary.org/wiki/drottning,https://en.wiktionary.org/wiki/dronning
144,drykkr,drykkur,drikk,https://en.wiktionary.org/wiki/drykkr#Old_Norse,https://en.wiktionary.org/wiki/drykkur,https://en.wiktionary.org/wiki/drikk
145,dráp,dráp,drap,https://en.wiktionary.org/wiki/dr%C3%A1p#Old_Norse,https://en.wiktionary.org/wiki/dr%C3%A1p,https://en.wiktionary.org/wiki/drap
146,dvala,dvali,dvale,https://en.wiktionary.org/wiki/dvala#Old_Norse,https://en.wiktionary.org/wiki/dvali,https://en.wiktionary.org/wiki/dvale
147,dvergr,dvergur,dverg,https://en.wiktionary.org/wiki/dvergr#Old_Norse,https://en.wiktionary.org/wiki/dvergur,https://en.wiktionary.org/wiki/dverg
148,dylja,dylja,dølja,https://en.wiktionary.org/wiki/dylja#Old_Norse,https://en.wiktionary.org/wiki/dylja,https://en.wiktionary.org/wiki/d%C3%B8lja
149,dyrr,dyr,dør,https://en.wiktionary.org/wiki/dyrr#Old_Norse,https://en.wiktionary.org/wiki/dyr,https://en.wiktionary.org/wiki/d%C3%B8r
150,dœma,dæma,døma,https://en.wiktionary.org/wiki/d%C5%93ma#Old_Norse,https://en.wiktionary.org/wiki/d%C3%A6ma,https://en.wiktionary.org/wiki/d%C3%B8ma
151,dœmi,dæmi,døme,https://en.wiktionary.org/wiki/d%C5%93mi#Old_Norse,https://en.wiktionary.org/wiki/d%C3%A6mi,https://en.wiktionary.org/wiki/d%C3%B8me
152,dómr,dómur,dom,https://en.wiktionary.org/wiki/d%C3%B3mr#Old_Norse,https://en.wiktionary.org/wiki/d%C3%B3mur,https://en.wiktionary.org/wiki/dom
153,dǫgg,dögg,dogg,https://en.wiktionary.org/wiki/d%C7%ABgg#Old_Norse,https://en.wiktionary.org/wiki/d%C3%B6gg,https://en.wiktionary.org/wiki/dogg
154,dúfa,dúfa,due,https://en.wiktionary.org/wiki/d%C3%BAfa#Old_Norse,https://en.wiktionary.org/wiki/d%C3%BAfa,https://en.wiktionary.org/wiki/due
155,dúkr,dúkur,duk,https://en.wiktionary.org/wiki/d%C3%BAkr#Old_Norse,https://en.wiktionary.org/wiki/d%C3%BAkur,https://en.wiktionary.org/wiki/duk
156,edik,edik,eddik,https://en.wiktionary.org/wiki/edik#Old_Norse,https://en.wiktionary.org/wiki/edik,https://en.wiktionary.org/wiki/eddik
157,efni,efni,emne,https://en.wiktionary.org/wiki/efni#Old_Norse,https://en.wiktionary.org/wiki/efni,https://en.wiktionary.org/wiki/emne
