,Old Norse Root,Icelandic Word,Norwegian Bokmål Word,Old Norse URL,Icelandic URL,Norwegian Bokmål URL
103,diskr,diskur,disk,https://en.wiktionary.org/wiki/diskr#Old_Norse,https://en.wiktionary.org/wiki/diskur,https://en.wiktionary.org/wiki/disk
104,djúpr,djúpur,djup,https://en.wiktionary.org/wiki/dj%C3%BApr#Old_Norse,https://en.wiktionary.org/wiki/dj%C3%BApur,https://en.wiktionary.org/wiki/djup
105,djúpr,djúpur,dyp,https://en.wiktionary.org/wiki/dj%C3%BApr#Old_Norse,https://en.wiktionary.org/wiki/dj%C3%BApur,https://en.wiktionary.org/wiki/dyp
106,dofinn,dofinn,doven,https://en.wiktionary.org/wiki/dofinn#Old_Norse,https://en.wiktionary.org/wiki/dofinn,https://en.wiktionary.org/wiki/doven
107,draga,draga,dra,https://en.wiktionary.org/wiki/draga#Old_Norse,https://en.wiktionary.org/wiki/draga,https://en.wiktionary.org/wiki/dra
108,draugr,draugur,draug,https://en.wiktionary.org/wiki/draugr#Old_Norse,https://en.wiktionary.org/wiki/draugur,https://en.wiktionary.org/wiki/draug
109,draumr,draumur,drøm,https://en.wiktionary.org/wiki/draumr#Old_Norse,https://en.wiktionary.org/wiki/draumur,https://en.wiktionary.org/wiki/dr%C3%B8m
110,dreki,dreki,drage,https://en.wiktionary.org/wiki/dreki#Old_Norse,https://en.wiktionary.org/wiki/dreki,https://en.wiktionary.org/wiki/drage
111,dreki,dreki,drake,https://en.wiktionary.org/wiki/dreki#Old_Norse,https://en.wiktionary.org/wiki/dreki,https://en.wiktionary.org/wiki/drake
112,drekka,drekka,drikkebror,https://en.wiktionary.org/wiki/drekka#Old_Norse,https://en.wiktionary.org/wiki/drekka,https://en.wiktionary.org/wiki/drikkebror
113,drepa,drepa,drepe,https://en.wiktionary.org/wiki/drepa#Old_Norse,https://en.wiktionary.org/wiki/drepa,https://en.wiktionary.org/wiki/drepe
114,drjúgr,drjúgur,drøy,https://en.wiktionary.org/wiki/drj%C3%BAgr#Old_Norse,https://en.wiktionary.org/wiki/drj%C3%BAgur,https://en.wiktionary.org/wiki/dr%C3%B8y
115,dropi,dropi,dråpe,https://en.wiktionary.org/wiki/dropi#Old_Norse,https://en.wiktionary.org/wiki/dropi,https://en.wiktionary.org/wiki/dr%C3%A5pe
116,dróttinn,drottinn,drott,https://en.wiktionary.org/wiki/dr%C3%B3ttinn#Old_Norse,https://en.wiktionary.org/wiki/drottinn,https://en.wiktionary.org/wiki/drott
117,dróttning,drottning,dronning,https://en.wiktionary.org/wiki/dr%C3%B3ttning#Old_Norse,https://en.wiktionary.org/wiki/drottning,https://en.wiktionary.org/wiki/dronning
118,drykkr,drykkur,drikk,https://en.wiktionary.org/wiki/drykkr#Old_Norse,https://en.wiktionary.org/wiki/drykkur,https://en.wiktionary.org/wiki/drikk
119,dráp,dráp,drap,https://en.wiktionary.org/wiki/dr%C3%A1p#Old_Norse,https://en.wiktionary.org/wiki/dr%C3%A1p,https://en.wiktionary.org/wiki/drap
120,dugnaðr,dugnaður,dugnad,https://en.wiktionary.org/wiki/dugna%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/dugna%C3%B0ur,https://en.wiktionary.org/wiki/dugnad
121,dvala,dvali,dvale,https://en.wiktionary.org/wiki/dvala#Old_Norse,https://en.wiktionary.org/wiki/dvali,https://en.wiktionary.org/wiki/dvale
122,dvergr,dvergur,dverg,https://en.wiktionary.org/wiki/dvergr#Old_Norse,https://en.wiktionary.org/wiki/dvergur,https://en.wiktionary.org/wiki/dverg
123,dœma,dæma,dømme,https://en.wiktionary.org/wiki/d%C5%93ma#Old_Norse,https://en.wiktionary.org/wiki/d%C3%A6ma,https://en.wiktionary.org/wiki/d%C3%B8mme
124,dómr,dómur,dom,https://en.wiktionary.org/wiki/d%C3%B3mr#Old_Norse,https://en.wiktionary.org/wiki/d%C3%B3mur,https://en.wiktionary.org/wiki/dom
125,dóttir,dóttir,datter,https://en.wiktionary.org/wiki/d%C3%B3ttir#Old_Norse,https://en.wiktionary.org/wiki/d%C3%B3ttir,https://en.wiktionary.org/wiki/datter
126,dǫgg,dögg,dogg,https://en.wiktionary.org/wiki/d%C7%ABgg#Old_Norse,https://en.wiktionary.org/wiki/d%C3%B6gg,https://en.wiktionary.org/wiki/dogg
127,dǫgg,dögg,dugg,https://en.wiktionary.org/wiki/d%C7%ABgg#Old_Norse,https://en.wiktionary.org/wiki/d%C3%B6gg,https://en.wiktionary.org/wiki/dugg
128,dúfa,dúfa,due,https://en.wiktionary.org/wiki/d%C3%BAfa#Old_Norse,https://en.wiktionary.org/wiki/d%C3%BAfa,https://en.wiktionary.org/wiki/due
129,dúkr,dúkur,duk,https://en.wiktionary.org/wiki/d%C3%BAkr#Old_Norse,https://en.wiktionary.org/wiki/d%C3%BAkur,https://en.wiktionary.org/wiki/duk
130,edik,edik,eddik,https://en.wiktionary.org/wiki/edik#Old_Norse,https://en.wiktionary.org/wiki/edik,https://en.wiktionary.org/wiki/eddik
131,efni,efni,emne,https://en.wiktionary.org/wiki/efni#Old_Norse,https://en.wiktionary.org/wiki/efni,https://en.wiktionary.org/wiki/emne
132,efni,efni,evne,https://en.wiktionary.org/wiki/efni#Old_Norse,https://en.wiktionary.org/wiki/efni,https://en.wiktionary.org/wiki/evne
133,eptir,eftir,etter,https://en.wiktionary.org/wiki/eptir#Old_Norse,https://en.wiktionary.org/wiki/eftir,https://en.wiktionary.org/wiki/etter
134,ek,eg,jeg,https://en.wiktionary.org/wiki/ek#Old_Norse,https://en.wiktionary.org/wiki/eg,https://en.wiktionary.org/wiki/jeg
135,egg,egg,egg,https://en.wiktionary.org/wiki/egg#Old_Norse,https://en.wiktionary.org/wiki/egg,https://en.wiktionary.org/wiki/egg
136,eiga,eiga,eie,https://en.wiktionary.org/wiki/eiga#Old_Norse,https://en.wiktionary.org/wiki/eiga,https://en.wiktionary.org/wiki/eie
137,eign,eign,egn,https://en.wiktionary.org/wiki/eign#Old_Norse,https://en.wiktionary.org/wiki/eign,https://en.wiktionary.org/wiki/egn
138,eik,eik,eik,https://en.wiktionary.org/wiki/eik#Old_Norse,https://en.wiktionary.org/wiki/eik,https://en.wiktionary.org/wiki/eik
139,einn,einn,ei,https://en.wiktionary.org/wiki/einn#Old_Norse,https://en.wiktionary.org/wiki/einn,https://en.wiktionary.org/wiki/ei
140,einn,einn,en,https://en.wiktionary.org/wiki/einn#Old_Norse,https://en.wiktionary.org/wiki/einn,https://en.wiktionary.org/wiki/en
141,eið,eiði,eid,https://en.wiktionary.org/wiki/ei%C3%B0#Old_Norse,https://en.wiktionary.org/wiki/ei%C3%B0i,https://en.wiktionary.org/wiki/eid
142,eiðr,eiður,ed,https://en.wiktionary.org/wiki/ei%C3%B0r#Old_Norse,https://en.wiktionary.org/wiki/ei%C3%B0ur,https://en.wiktionary.org/wiki/ed
143,ek,ek,jeg,https://en.wiktionary.org/wiki/ek#Old_Norse,https://en.wiktionary.org/wiki/ek,https://en.wiktionary.org/wiki/jeg
