,Proto-Germanic Root,Dutch Word,English Word,Proto-Germanic URL,Dutch URL,English URL
109,*blīkaną,blijken,blike,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bl%C4%ABkan%C4%85,https://en.wiktionary.org/wiki/blijken,https://en.wiktionary.org/wiki/blike
110,*bilībaną,blijven,belave,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bil%C4%ABban%C4%85,https://en.wiktionary.org/wiki/blijven,https://en.wiktionary.org/wiki/belave
111,*bilībaną,blijven,belive,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bil%C4%ABban%C4%85,https://en.wiktionary.org/wiki/blijven,https://en.wiktionary.org/wiki/belive
112,*blindaz,blind,blind,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blindaz,https://en.wiktionary.org/wiki/blind,https://en.wiktionary.org/wiki/blind
113,*blinkaną,blinken,blink,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blinkan%C4%85,https://en.wiktionary.org/wiki/blinken,https://en.wiktionary.org/wiki/blink
114,*blōþą,bloed,bless,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bl%C5%8D%C3%BE%C4%85,https://en.wiktionary.org/wiki/bloed,https://en.wiktionary.org/wiki/bless
115,*blōþijaną,bloeden,bleed,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bl%C5%8D%C3%BEijan%C4%85,https://en.wiktionary.org/wiki/bloeden,https://en.wiktionary.org/wiki/bleed
116,*blōmô,bloem,bloom,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bl%C5%8Dm%C3%B4,https://en.wiktionary.org/wiki/bloem,https://en.wiktionary.org/wiki/bloom
117,*blukką,blok,bloc,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blukk%C4%85,https://en.wiktionary.org/wiki/blok,https://en.wiktionary.org/wiki/bloc
118,*blukką,blok,block,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blukk%C4%85,https://en.wiktionary.org/wiki/blok,https://en.wiktionary.org/wiki/block
119,*bōks,boek,book,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/b%C5%8Dks,https://en.wiktionary.org/wiki/boek,https://en.wiktionary.org/wiki/book
120,*bō-,boel,bub,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/b%C5%8D-,https://en.wiktionary.org/wiki/boel,https://en.wiktionary.org/wiki/bub
121,*bōtō,boete,bote,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/b%C5%8Dt%C5%8D,https://en.wiktionary.org/wiki/boete,https://en.wiktionary.org/wiki/bote
122,*bōsmaz,boezem,bosom,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/b%C5%8Dsmaz,https://en.wiktionary.org/wiki/boezem,https://en.wiktionary.org/wiki/bosom
123,*bukkaz,bok,buck,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bukkaz,https://en.wiktionary.org/wiki/bok,https://en.wiktionary.org/wiki/buck
124,*bullǭ,bol,bilberry,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bull%C7%AD,https://en.wiktionary.org/wiki/bol,https://en.wiktionary.org/wiki/bilberry
125,*bulstraz,bolster,bolster,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bulstraz,https://en.wiktionary.org/wiki/bolster,https://en.wiktionary.org/wiki/bolster
126,*baunō,boon,bean,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/baun%C5%8D,https://en.wiktionary.org/wiki/boon,https://en.wiktionary.org/wiki/bean
127,*baitaz,boot,boat,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/baitaz,https://en.wiktionary.org/wiki/boot,https://en.wiktionary.org/wiki/boat
128,*burdą,bord,board,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/burd%C4%85,https://en.wiktionary.org/wiki/bord,https://en.wiktionary.org/wiki/board
129,*burōną,boren,bore,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bur%C5%8Dn%C4%85,https://en.wiktionary.org/wiki/boren,https://en.wiktionary.org/wiki/bore
130,*bautaną,boten,buttress,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bautan%C4%85,https://en.wiktionary.org/wiki/boten,https://en.wiktionary.org/wiki/buttress
131,*Balþawiniz,Boudewijn,Baldwin,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/Bal%C3%BEawiniz,https://en.wiktionary.org/wiki/Boudewijn,https://en.wiktionary.org/wiki/Baldwin
132,*bultaz,bout,bolt,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bultaz,https://en.wiktionary.org/wiki/bout,https://en.wiktionary.org/wiki/bolt
133,*brēm-,braam,broom,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/br%C4%93m-,https://en.wiktionary.org/wiki/braam,https://en.wiktionary.org/wiki/broom
134,*brandaz,brand,brandish,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brandaz,https://en.wiktionary.org/wiki/brand,https://en.wiktionary.org/wiki/brandish
135,*brandaz,brand,brant,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brandaz,https://en.wiktionary.org/wiki/brand,https://en.wiktionary.org/wiki/brant
136,*bregdaną,breien,braid,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bregdan%C4%85,https://en.wiktionary.org/wiki/breien,https://en.wiktionary.org/wiki/braid
137,*bragną,brein,brain,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bragn%C4%85,https://en.wiktionary.org/wiki/brein,https://en.wiktionary.org/wiki/brain
138,*brekaną,breken,break,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brekan%C4%85,https://en.wiktionary.org/wiki/breken,https://en.wiktionary.org/wiki/break
139,*brōdijaną,broeden,breed,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/br%C5%8Ddijan%C4%85,https://en.wiktionary.org/wiki/broeden,https://en.wiktionary.org/wiki/breed
140,*brōþēr,broeder,brother,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/br%C5%8D%C3%BE%C4%93r,https://en.wiktionary.org/wiki/broeder,https://en.wiktionary.org/wiki/brother
141,*braudą,brood,bread,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/braud%C4%85,https://en.wiktionary.org/wiki/brood,https://en.wiktionary.org/wiki/bread
142,*brewwaną,brouwen,brew,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brewwan%C4%85,https://en.wiktionary.org/wiki/brouwen,https://en.wiktionary.org/wiki/brew
143,*brugjǭ,brug,brig,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brugj%C7%AD,https://en.wiktionary.org/wiki/brug,https://en.wiktionary.org/wiki/brig
144,*brūdiz,bruid,bride,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/br%C5%ABdiz,https://en.wiktionary.org/wiki/bruid,https://en.wiktionary.org/wiki/bride
